GID_2,year,period,rainfall_mm,ndvi_value
MWI.1.1_1,2023,20,17.528829645,0.385090909
MWI.1.1_1,2023,21,18.950237407,0.369918182
MWI.1.1_1,2023,22,100.24361015699999,0.436590909
MWI.1.1_1,2024,0,219.986125947,0.480681818
MWI.1.1_1,2024,1,31.302177866,0.535063636
MWI.1.1_1,2024,2,64.635520129,0.520963636
MWI.1.1_1,2024,3,74.820611406,0.529354545
MWI.1.1_1,2024,4,93.641773388,0.5859
MWI.1.1_1,2024,5,2.235211248,0.608509091
MWI.1.1_1,2024,6,32.200442851,0.534081818
MWI.1.1_1,2024,7,6.4926391809999995,0.498736364
MWI.1.1_1,2024,8,3.338400343,0.438736364
MWI.1.1_1,2024,9,6.720084480000001,0.433618182
MWI.1.1_1,2024,10,5.077367363,0.389945455
MWI.1.1_1,2024,11,2.69050526,0.357809091
MWI.1.1_1,2024,12,4.476206456,0.336854545
MWI.1.1_1,2024,13,0.0,0.314527273
MWI.1.1_1,2024,14,3.7080785142,0.288172727
MWI.1.1_1,2024,15,6.226353868,0.305818182
MWI.1.1_1,2024,16,5.456699143,0.275772727
MWI.1.1_1,2024,17,8.793548771000001,0.273618182
MWI.1.1_1,2024,18,39.439253529,0.280709091
MWI.1.1_1,2024,19,42.25550734,0.276563636
MWI.1.1_1,2024,20,50.016507873,0.356263636
MWI.1.1_1,2024,21,49.146521648000004,0.390272727
MWI.1.1_1,2024,22,40.710579493,0.456218182
MWI.1.1_1,2025,0,134.153855574,0.469836364
MWI.1.1_1,2025,1,278.23227189,0.616881818
MWI.1.1_1,2025,2,139.31674495,0.613554545
MWI.1.1_1,2025,3,151.780394501,0.6368
MWI.1.2_1,2022,0,233.607132837,0.467996756
MWI.1.2_1,2022,1,124.435580119,0.570206488
MWI.1.2_1,2022,2,173.896293655,0.662353579
MWI.1.2_1,2022,3,101.204048903,0.7061066
MWI.1.2_1,2022,4,83.57803808,0.609476174
MWI.1.2_1,2022,5,99.40641525699999,0.705631879
MWI.1.2_1,2022,6,9.860802514000001,0.682263311
MWI.1.2_1,2022,7,5.7577521119999995,0.644182215
MWI.1.2_1,2022,8,5.144236019,0.606158837
MWI.1.2_1,2022,9,0.627709014,0.555672148
MWI.1.2_1,2022,10,0.014047431999999999,0.516884004
MWI.1.2_1,2022,11,2.412343468,0.475348658
MWI.1.2_1,2022,12,2.75014891,0.4474566
MWI.1.2_1,2022,13,0.545057978,0.412979978
MWI.1.2_1,2022,14,1.150328483,0.369388367
MWI.1.2_1,2022,15,2.197503771,0.325853803
MWI.1.2_1,2022,16,5.59227678,0.313049329
MWI.1.2_1,2022,17,1.0748185030000001,0.285984899
MWI.1.2_1,2022,18,11.056813717,0.273752461
MWI.1.2_1,2022,19,30.992747857,0.271752461
MWI.1.2_1,2022,20,31.493504568,0.30200123
MWI.1.2_1,2022,21,107.019052785,0.309743512
MWI.1.2_1,2022,22,109.01602962800001,0.518953244
MWI.1.2_1,2023,0,131.260227233,0.589594743
MWI.1.2_1,2023,1,152.202504619,0.705829306
MWI.1.2_1,2023,2,116.08760231800001,0.668457942
MWI.1.2_1,2023,3,92.093643867,0.747334676
MWI.1.2_1,2023,4,107.133443528,0.676560626
MWI.1.2_1,2023,5,77.093009415,0.627129642
MWI.1.2_1,2023,6,0.106588687,0.697251566
MWI.1.2_1,2023,7,3.930590221,0.715490045
MWI.1.2_1,2023,8,6.211039952,0.643335794
MWI.1.2_1,2023,9,0.0,0.599568904
MWI.1.2_1,2023,10,0.0,0.54383557
MWI.1.2_1,2023,11,1.9166326519999999,0.487697651
MWI.1.2_1,2023,12,2.691046307,0.464032886
MWI.1.2_1,2023,13,3.641955239,0.42944038
MWI.1.2_1,2023,14,8.128813062,0.386605593
MWI.1.2_1,2023,15,0.091988776,0.34929396
MWI.1.2_1,2023,16,0.485325949,0.335974161
MWI.1.2_1,2023,17,1.097079413,0.310127629
MWI.1.2_1,2023,18,29.393557138,0.302487248
MWI.1.2_1,2023,19,11.90194256,0.306572371
MWI.1.2_1,2023,20,16.009180087,0.368093065
MWI.1.2_1,2023,21,16.041030474,0.363880649
MWI.1.2_1,2023,22,96.340042453,0.401325727
MWI.1.2_1,2024,0,211.462188818,0.466427293
MWI.1.2_1,2024,1,25.093315675,0.642911409
MWI.1.2_1,2024,2,68.286311829,0.626236242
MWI.1.2_1,2024,3,69.044944325,0.650241946
MWI.1.2_1,2024,4,75.868846209,0.724503691
MWI.1.2_1,2024,5,0.0,0.687522036
MWI.1.2_1,2024,6,10.919609479,0.650359396
MWI.1.2_1,2024,7,8.748791013,0.606514206
MWI.1.2_1,2024,8,0.94274589,0.533003803
MWI.1.2_1,2024,9,2.8810862640000003,0.505400559
MWI.1.2_1,2024,10,0.0425695683,0.446922371
MWI.1.2_1,2024,11,0.066717114,0.400480537
MWI.1.2_1,2024,12,6.46644347,0.37342226
MWI.1.2_1,2024,13,0.0,0.345987919
MWI.1.2_1,2024,14,4.316258771,0.301579306
MWI.1.2_1,2024,15,6.569386264,0.315518121
MWI.1.2_1,2024,16,6.518050481,0.296457047
MWI.1.2_1,2024,17,6.699529674,0.28183736
MWI.1.2_1,2024,18,42.159676000999994,0.285603803
MWI.1.2_1,2024,19,29.94064515,0.276903803
MWI.1.2_1,2024,20,37.987640652,0.297220582
MWI.1.2_1,2024,21,46.769147277,0.361461745
MWI.1.2_1,2024,22,36.90773726,0.41896745
MWI.1.2_1,2025,0,134.585239962,0.532925615
MWI.1.2_1,2025,1,261.454280515,0.619680761
MWI.1.2_1,2025,2,115.948101937,0.69527528
MWI.1.2_1,2025,3,131.854732912,0.67455302
MWI.1.3_1,2022,0,249.996008296,0.516458363
MWI.1.3_1,2022,1,140.742520201,0.626541276
MWI.1.3_1,2022,2,154.225073095,0.724886402
MWI.1.3_1,2022,3,78.206227833,0.74336065
MWI.1.3_1,2022,4,75.42246329700001,0.647345487
MWI.1.3_1,2022,5,150.090175953,0.729552226
MWI.1.3_1,2022,6,45.994399697,0.709650301
MWI.1.3_1,2022,7,5.363625610000001,0.67286769
MWI.1.3_1,2022,8,2.8801508,0.618495548
MWI.1.3_1,2022,9,2.965632958,0.558563538
MWI.1.3_1,2022,10,0.241249295,0.514565042
MWI.1.3_1,2022,11,4.978752136000001,0.47094284
MWI.1.3_1,2022,12,0.36912605,0.429695848
MWI.1.3_1,2022,13,0.154611738,0.404331167
MWI.1.3_1,2022,14,0.5735161,0.352295728
MWI.1.3_1,2022,15,1.2267608230000002,0.31776071
MWI.1.3_1,2022,16,5.695481915,0.302466606
MWI.1.3_1,2022,17,1.8289384405,0.282672623
MWI.1.3_1,2022,18,9.22496722,0.26957503
MWI.1.3_1,2022,19,40.018992978,0.270397894
MWI.1.3_1,2022,20,31.753869802,0.291383093
MWI.1.3_1,2022,21,117.47827114600001,0.332763658
MWI.1.3_1,2022,22,115.602616033,0.604307401
MWI.1.3_1,2023,0,142.946502893,0.657504934
MWI.1.3_1,2023,1,148.307778235,0.744661131
MWI.1.3_1,2023,2,125.944482211,0.775127918
MWI.1.3_1,2023,3,99.238261523,0.782707822
MWI.1.3_1,2023,4,131.701233689,0.704868412
MWI.1.3_1,2023,5,67.378898551,0.709947774
MWI.1.3_1,2023,6,5.161519797,0.732700481
MWI.1.3_1,2023,7,1.759957355,0.742860108
MWI.1.3_1,2023,8,6.394724307,0.66242136
MWI.1.3_1,2023,9,0.0,0.614862214
MWI.1.3_1,2023,10,0.0,0.561430205
MWI.1.3_1,2023,11,2.724510939,0.49429645
MWI.1.3_1,2023,12,0.7814485710000001,0.469987304
MWI.1.3_1,2023,13,1.816632146,0.433369374
MWI.1.3_1,2023,14,8.557223216,0.387048375
MWI.1.3_1,2023,15,0.0,0.342577437
MWI.1.3_1,2023,16,0.227261585,0.338722262
MWI.1.3_1,2023,17,0.407347555,0.313494705
MWI.1.3_1,2023,18,38.095211696,0.311662696
MWI.1.3_1,2023,19,12.414966562,0.307377136
MWI.1.3_1,2023,20,17.990376347999998,0.374051564
MWI.1.3_1,2023,21,11.071392909,0.368431709
MWI.1.3_1,2023,22,100.526463886,0.463672383
MWI.1.3_1,2024,0,206.334901395,0.504280445
MWI.1.3_1,2024,1,24.525922031,0.685491276
MWI.1.3_1,2024,2,62.380530859000004,0.693130987
MWI.1.3_1,2024,3,73.565475134,0.664931468
MWI.1.3_1,2024,4,86.025083544,0.733493442
MWI.1.3_1,2024,5,1.217536429,0.679913959
MWI.1.3_1,2024,6,21.646597095,0.649397834
MWI.1.3_1,2024,7,5.156090073,0.570473947
MWI.1.3_1,2024,8,2.152896161,0.501895006
MWI.1.3_1,2024,9,4.940593129,0.48133201
MWI.1.3_1,2024,10,0.32567079899999996,0.427555355
MWI.1.3_1,2024,11,1.45552436,0.388992298
MWI.1.3_1,2024,12,4.727128433,0.359736823
MWI.1.3_1,2024,13,0.0,0.335178761
MWI.1.3_1,2024,14,3.877556167,0.300963117
MWI.1.3_1,2024,15,6.051374075,0.307251324
MWI.1.3_1,2024,16,4.363265552,0.276251745
MWI.1.3_1,2024,17,10.03312538,0.265044043
MWI.1.3_1,2024,18,59.27621725,0.262404452
MWI.1.3_1,2024,19,34.750910016,0.277609266
MWI.1.3_1,2024,20,46.581324131,0.348566847
MWI.1.3_1,2024,21,44.645786036000004,0.390624428
MWI.1.3_1,2024,22,34.09723862800001,0.474642479
MWI.1.3_1,2025,0,121.71890060300001,0.562131769
MWI.1.3_1,2025,1,230.03776219,0.669341576
MWI.1.3_1,2025,2,116.53134446,0.739217148
MWI.1.3_1,2025,3,155.573316159,0.749964801
MWI.10.1_1,2022,0,196.928676766,0.281140909
MWI.10.1_1,2022,1,197.862811574,0.262309091
MWI.10.1_1,2022,2,277.669289594,0.502631818
MWI.10.1_1,2022,3,219.729301437,0.584190909
MWI.10.1_1,2022,4,123.867337936,0.697881818
MWI.10.1_1,2022,5,123.877860067,0.691668182
MWI.10.1_1,2022,6,61.002655982,0.736068182
MWI.10.1_1,2022,7,36.50621414,0.626804545
MWI.10.1_1,2022,8,0.0,0.603045455
MWI.10.1_1,2022,9,0.0,0.54305
MWI.10.1_1,2022,10,0.050222073000000006,0.508663636
MWI.10.1_1,2022,11,0.0,0.477481818
MWI.10.1_1,2022,12,0.0,0.472786364
MWI.10.1_1,2022,13,0.0,0.449468182
MWI.10.1_1,2022,14,0.0,0.40045
MWI.10.1_1,2022,15,0.0,0.431513636
MWI.10.1_1,2022,16,0.638494813,0.459427273
MWI.10.1_1,2022,17,0.0,0.379931818
MWI.10.1_1,2022,18,0.0,0.358636364
MWI.10.1_1,2022,19,6.234563351,0.341604545
MWI.10.1_1,2022,20,28.052162167,0.356672727
MWI.10.1_1,2022,21,72.975312704,0.358918182
MWI.10.1_1,2022,22,174.030543324,0.543995455
MWI.10.1_1,2023,0,144.042520768,0.573722727
MWI.10.1_1,2023,1,143.645679957,0.424045455
MWI.10.1_1,2023,2,173.752916836,0.35275
MWI.10.1_1,2023,3,124.06773568,0.640318182
MWI.10.1_1,2023,4,180.490634919,0.787163636
MWI.10.1_1,2023,5,132.147024861,0.665577273
MWI.10.1_1,2023,6,55.311565998000006,0.660736364
MWI.10.1_1,2023,7,4.234573245,0.6961
MWI.10.1_1,2023,8,0.0,0.586054545
MWI.10.1_1,2023,9,0.0,0.567354545
MWI.10.1_1,2023,10,0.0,0.525154545
MWI.10.1_1,2023,11,0.0,0.483768182
MWI.10.1_1,2023,12,0.0,0.446236364
MWI.10.1_1,2023,13,0.0,0.446804545
MWI.10.1_1,2023,14,0.0,0.482790909
MWI.10.1_1,2023,15,0.0,0.429931818
MWI.10.1_1,2023,16,0.0,0.454681818
MWI.10.1_1,2023,17,0.0,0.403968182
MWI.10.1_1,2023,18,6.246272088,0.347768182
MWI.10.1_1,2023,19,24.778122902,0.378627273
MWI.10.1_1,2023,20,57.939544670000004,0.396727273
MWI.10.1_1,2023,21,51.258428571,0.500345455
MWI.10.1_1,2023,22,81.796348571,0.505977273
MWI.10.1_1,2024,0,180.065889119,0.346086364
MWI.10.1_1,2024,1,124.534524922,0.46415
MWI.10.1_1,2024,2,170.224978681,0.624286364
MWI.10.1_1,2024,3,197.615481857,0.505977273
MWI.10.1_1,2024,4,96.877756954,0.529072727
MWI.10.1_1,2024,5,55.293043968999996,0.685445455
MWI.10.1_1,2024,6,56.009069919,0.670063636
MWI.10.1_1,2024,7,4.531687855,0.607622727
MWI.10.1_1,2024,8,1.443246614,0.626
MWI.10.1_1,2024,9,0.0,0.544277273
MWI.10.1_1,2024,10,0.14889770500000002,0.494027273
MWI.10.1_1,2024,11,0.0,0.489409091
MWI.10.1_1,2024,12,0.0,0.491277273
MWI.10.1_1,2024,13,0.0,0.443181818
MWI.10.1_1,2024,14,0.611849493,0.480990909
MWI.10.1_1,2024,15,0.940398475,0.437595455
MWI.10.1_1,2024,16,0.061894149,0.417831818
MWI.10.1_1,2024,17,9.855001927,0.391972727
MWI.10.1_1,2024,18,10.990710736,0.383195455
MWI.10.1_1,2024,19,7.910413741999999,0.3555
MWI.10.1_1,2024,20,41.21849894,0.472077273
MWI.10.1_1,2024,21,39.876323226000004,0.398222727
MWI.10.1_1,2024,22,39.63387585,0.443645455
MWI.10.1_1,2025,0,138.57016492099999,0.286681818
MWI.10.1_1,2025,1,173.460780617,0.349959091
MWI.10.1_1,2025,2,124.95426654100001,0.631354545
MWI.10.1_1,2025,3,79.292148512,0.511563636
MWI.11.10_1,2022,0,187.074291952,0.459568652
MWI.11.10_1,2022,1,136.551660755,0.504651567
MWI.11.10_1,2022,2,185.53997272499998,0.571903762
MWI.11.10_1,2022,3,169.708339283,0.720323511
MWI.11.10_1,2022,4,133.911131966,0.58987931
MWI.11.10_1,2022,5,184.50863394,0.720986207
MWI.11.10_1,2022,6,69.156155907,0.56799279
MWI.11.10_1,2022,7,0.0,0.592233229
MWI.11.10_1,2022,8,0.0,0.480081975
MWI.11.10_1,2022,9,2.773545371,0.436270533
MWI.11.10_1,2022,10,3.028950004,0.391960972
MWI.11.10_1,2022,11,0.0,0.362938088
MWI.11.10_1,2022,12,0.0,0.32845094
MWI.11.10_1,2022,13,0.0,0.320521944
MWI.11.10_1,2022,14,0.0,0.287555799
MWI.11.10_1,2022,15,0.0,0.273766144
MWI.11.10_1,2022,16,0.8142182870000001,0.261369122
MWI.11.10_1,2022,17,3.27e-06,0.250864107
MWI.11.10_1,2022,18,2.446402126,0.251205486
MWI.11.10_1,2022,19,34.505053626,0.258646552
MWI.11.10_1,2022,20,47.316436768,0.271181975
MWI.11.10_1,2022,21,114.856527252,0.335816144
MWI.11.10_1,2022,22,132.883670179,0.254726803
MWI.11.10_1,2023,0,149.831793475,0.298067085
MWI.11.10_1,2023,1,163.146054159,0.556726489
MWI.11.10_1,2023,2,146.350621974,0.615630721
MWI.11.10_1,2023,3,147.81237127400001,0.74690047
MWI.11.10_1,2023,4,140.995516462,0.661593417
MWI.11.10_1,2023,5,146.65992354,0.693612382
MWI.11.10_1,2023,6,42.524311248,0.667873354
MWI.11.10_1,2023,7,0.0,0.64677116
MWI.11.10_1,2023,8,0.327763663,0.520418182
MWI.11.10_1,2023,9,0.0,0.451108777
MWI.11.10_1,2023,10,0.0,0.415285423
MWI.11.10_1,2023,11,0.0,0.377012539
MWI.11.10_1,2023,12,0.0,0.351205486
MWI.11.10_1,2023,13,0.0,0.333723511
MWI.11.10_1,2023,14,0.0,0.3008779
MWI.11.10_1,2023,15,0.0,0.287964263
MWI.11.10_1,2023,16,0.0,0.281034953
MWI.11.10_1,2023,17,0.0,0.281748119
MWI.11.10_1,2023,18,22.863719513,0.285973354
MWI.11.10_1,2023,19,26.911429404,0.305970533
MWI.11.10_1,2023,20,10.108398542,0.336748276
MWI.11.10_1,2023,21,5.899052196,0.372051097
MWI.11.10_1,2023,22,150.307902862,0.367803918
MWI.11.10_1,2024,0,198.771314825,0.318432915
MWI.11.10_1,2024,1,54.219980301,0.531701724
MWI.11.10_1,2024,2,74.011161068,0.59784326
MWI.11.10_1,2024,3,101.082208326,0.636428683
MWI.11.10_1,2024,4,105.811822252,0.719002978
MWI.11.10_1,2024,5,11.534716715,0.653115674
MWI.11.10_1,2024,6,38.168873259,0.617832915
MWI.11.10_1,2024,7,0.0,0.515695141
MWI.11.10_1,2024,8,2.1109173820000002,0.451973511
MWI.11.10_1,2024,9,0.0,0.422723981
MWI.11.10_1,2024,10,1.810061232,0.384282915
MWI.11.10_1,2024,11,0.423869292,0.366916458
MWI.11.10_1,2024,12,0.0,0.334624451
MWI.11.10_1,2024,13,0.0,0.304261129
MWI.11.10_1,2024,14,0.2150806031,0.273216458
MWI.11.10_1,2024,15,0.626543148,0.285556113
MWI.11.10_1,2024,16,0.196469833,0.258018652
MWI.11.10_1,2024,17,0.71571119,0.251454859
MWI.11.10_1,2024,18,46.409773507,0.257535737
MWI.11.10_1,2024,19,28.232117123,0.264952508
MWI.11.10_1,2024,20,53.605837238,0.326421473
MWI.11.10_1,2024,21,58.96759584,0.334087304
MWI.11.10_1,2024,22,36.194180803,0.360391066
MWI.11.10_1,2025,0,181.984803839,0.419685266
MWI.11.10_1,2025,1,193.741783144,0.483867712
MWI.11.10_1,2025,2,93.336136397,0.62134232
MWI.11.10_1,2025,3,87.182446075,0.711820846
MWI.11.11_1,2022,0,179.812535037,0.381755693
MWI.11.11_1,2022,1,152.645912532,0.493190947
MWI.11.11_1,2022,2,195.180560883,0.549735528
MWI.11.11_1,2022,3,155.198984849,0.698313443
MWI.11.11_1,2022,4,98.59612796,0.676029355
MWI.11.11_1,2022,5,185.79692318399998,0.715922908
MWI.11.11_1,2022,6,154.444110959,0.649170782
MWI.11.11_1,2022,7,0.0,0.643095336
MWI.11.11_1,2022,8,0.0,0.512666255
MWI.11.11_1,2022,9,1.249768938,0.466256379
MWI.11.11_1,2022,10,2.288317703,0.403027709
MWI.11.11_1,2022,11,0.0,0.373415912
MWI.11.11_1,2022,12,0.0,0.343801783
MWI.11.11_1,2022,13,0.0,0.332151852
MWI.11.11_1,2022,14,0.0,0.296649657
MWI.11.11_1,2022,15,0.0,0.281948422
MWI.11.11_1,2022,16,0.970825026,0.269048971
MWI.11.11_1,2022,17,1.74e-06,0.255187791
MWI.11.11_1,2022,18,2.334836746,0.26040439
MWI.11.11_1,2022,19,40.52536642,0.270241975
MWI.11.11_1,2022,20,44.134967305,0.273359534
MWI.11.11_1,2022,21,109.658031557,0.328145679
MWI.11.11_1,2022,22,145.21335274199998,0.343563512
MWI.11.11_1,2023,0,168.21719178,0.312681619
MWI.11.11_1,2023,1,172.75276510999998,0.539525377
MWI.11.11_1,2023,2,144.657024657,0.594423731
MWI.11.11_1,2023,3,139.783122456,0.739006173
MWI.11.11_1,2023,4,114.160477043,0.718230316
MWI.11.11_1,2023,5,112.18670908,0.661037174
MWI.11.11_1,2023,6,45.884309039,0.66161358
MWI.11.11_1,2023,7,0.0,0.641286968
MWI.11.11_1,2023,8,0.173691051,0.533304115
MWI.11.11_1,2023,9,0.0,0.464421948
MWI.11.11_1,2023,10,0.0,0.421936351
MWI.11.11_1,2023,11,0.0,0.38340096
MWI.11.11_1,2023,12,0.0,0.356696433
MWI.11.11_1,2023,13,0.0,0.333868861
MWI.11.11_1,2023,14,0.0,0.30360439
MWI.11.11_1,2023,15,0.0,0.290757476
MWI.11.11_1,2023,16,0.0,0.281056516
MWI.11.11_1,2023,17,0.0,0.283040604
MWI.11.11_1,2023,18,35.152447926,0.283197119
MWI.11.11_1,2023,19,30.625656763,0.309354184
MWI.11.11_1,2023,20,12.502862618,0.328967627
MWI.11.11_1,2023,21,19.298694157,0.374258436
MWI.11.11_1,2023,22,135.641447256,0.337845267
MWI.11.11_1,2024,0,187.886752535,0.274505487
MWI.11.11_1,2024,1,56.934640609,0.522983402
MWI.11.11_1,2024,2,66.672478428,0.560918656
MWI.11.11_1,2024,3,75.490073785,0.581564883
MWI.11.11_1,2024,4,97.287985302,0.669562003
MWI.11.11_1,2024,5,14.536132991999999,0.668537311
MWI.11.11_1,2024,6,45.872016731,0.658491632
MWI.11.11_1,2024,7,0.251623091,0.554001097
MWI.11.11_1,2024,8,1.635556972,0.483114403
MWI.11.11_1,2024,9,0.115867717,0.441440055
MWI.11.11_1,2024,10,1.399271002,0.394465158
MWI.11.11_1,2024,11,0.174969855,0.369587791
MWI.11.11_1,2024,12,0.0,0.339408505
MWI.11.11_1,2024,13,0.0,0.304346639
MWI.11.11_1,2024,14,0.11502006564000002,0.274754733
MWI.11.11_1,2024,15,0.47429292700000003,0.287544033
MWI.11.11_1,2024,16,0.308109982,0.256320713
MWI.11.11_1,2024,17,0.828488372,0.251080658
MWI.11.11_1,2024,18,46.524226255,0.251469547
MWI.11.11_1,2024,19,45.053843086,0.261267901
MWI.11.11_1,2024,20,55.389979534000005,0.319533333
MWI.11.11_1,2024,21,59.691258202,0.327704527
MWI.11.11_1,2024,22,39.05988057,0.367404252
MWI.11.11_1,2025,0,172.909462291,0.429281481
MWI.11.11_1,2025,1,181.029515585,0.537697668
MWI.11.11_1,2025,2,100.230744917,0.635732236
MWI.11.11_1,2025,3,86.477972116,0.694064609
MWI.11.12_1,2022,0,203.145258854,0.332040984
MWI.11.12_1,2022,1,136.658890724,0.317913115
MWI.11.12_1,2022,2,199.9681902,0.447434426
MWI.11.12_1,2022,3,165.614574426,0.715288525
MWI.11.12_1,2022,4,122.156207079,0.484757377
MWI.11.12_1,2022,5,196.80062867,0.723047541
MWI.11.12_1,2022,6,117.1776428,0.6819
MWI.11.12_1,2022,7,0.0,0.648801639
MWI.11.12_1,2022,8,0.0,0.517118033
MWI.11.12_1,2022,9,1.598341703,0.432885246
MWI.11.12_1,2022,10,2.180320538,0.396816393
MWI.11.12_1,2022,11,0.0,0.374077049
MWI.11.12_1,2022,12,0.0,0.332736066
MWI.11.12_1,2022,13,0.0,0.333322951
MWI.11.12_1,2022,14,0.0,0.296213115
MWI.11.12_1,2022,15,0.0,0.288570492
MWI.11.12_1,2022,16,1.071813584,0.278609836
MWI.11.12_1,2022,17,0.0,0.266534426
MWI.11.12_1,2022,18,4.404328346,0.273395082
MWI.11.12_1,2022,19,34.023795125999996,0.285677049
MWI.11.12_1,2022,20,39.078141928,0.293863934
MWI.11.12_1,2022,21,101.99633886,0.293416393
MWI.11.12_1,2022,22,139.445316787,0.354372131
MWI.11.12_1,2023,0,161.545640932,0.344031148
MWI.11.12_1,2023,1,185.175476314,0.654413115
MWI.11.12_1,2023,2,154.860996468,0.655883607
MWI.11.12_1,2023,3,133.511165612,0.729291803
MWI.11.12_1,2023,4,125.72916984999999,0.688272131
MWI.11.12_1,2023,5,137.40411568,0.672288525
MWI.11.12_1,2023,6,22.13302231,0.637634426
MWI.11.12_1,2023,7,0.0,0.622693443
MWI.11.12_1,2023,8,2.025663376,0.50527541
MWI.11.12_1,2023,9,0.0,0.44444918
MWI.11.12_1,2023,10,0.0,0.399867213
MWI.11.12_1,2023,11,0.0,0.367372131
MWI.11.12_1,2023,12,0.0,0.344367213
MWI.11.12_1,2023,13,0.0,0.330703279
MWI.11.12_1,2023,14,0.0,0.3112
MWI.11.12_1,2023,15,0.0,0.295495082
MWI.11.12_1,2023,16,0.0,0.296842623
MWI.11.12_1,2023,17,0.0,0.284755738
MWI.11.12_1,2023,18,22.742441654,0.303378689
MWI.11.12_1,2023,19,20.730801464000002,0.318636066
MWI.11.12_1,2023,20,7.281029105,0.32237377
MWI.11.12_1,2023,21,10.9084816,0.298885246
MWI.11.12_1,2023,22,148.516479495,0.353083607
MWI.11.12_1,2024,0,197.828411111,0.340604918
MWI.11.12_1,2024,1,36.001029012,0.535365574
MWI.11.12_1,2024,2,79.883552545,0.637157377
MWI.11.12_1,2024,3,88.154605632,0.67677541
MWI.11.12_1,2024,4,105.255500798,0.69482459
MWI.11.12_1,2024,5,16.08816719,0.704255738
MWI.11.12_1,2024,6,58.138129236,0.637913115
MWI.11.12_1,2024,7,0.0,0.552786885
MWI.11.12_1,2024,8,1.612981886,0.471934426
MWI.11.12_1,2024,9,0.0,0.445822951
MWI.11.12_1,2024,10,1.564655643,0.398009836
MWI.11.12_1,2024,11,0.0,0.366055738
MWI.11.12_1,2024,12,0.0,0.349113115
MWI.11.12_1,2024,13,0.0,0.313252459
MWI.11.12_1,2024,14,0.28129655070000004,0.30107541
MWI.11.12_1,2024,15,0.583182759,0.299598361
MWI.11.12_1,2024,16,0.806010336,0.28067377
MWI.11.12_1,2024,17,0.58991435,0.275108197
MWI.11.12_1,2024,18,42.695038798,0.278109836
MWI.11.12_1,2024,19,44.980124473,0.288781967
MWI.11.12_1,2024,20,52.902882573,0.384588525
MWI.11.12_1,2024,21,58.417047024,0.372439344
MWI.11.12_1,2024,22,33.655970572,0.420754098
MWI.11.12_1,2025,0,167.273814209,0.616136066
MWI.11.12_1,2025,1,197.436544896,0.596904918
MWI.11.12_1,2025,2,89.887791526,0.665095082
MWI.11.12_1,2025,3,98.105270417,0.6877
MWI.11.13_1,2022,0,195.792592906,0.376731915
MWI.11.13_1,2022,1,148.293403801,0.423051915
MWI.11.13_1,2022,2,189.883990981,0.515885957
MWI.11.13_1,2022,3,162.822210915,0.739353617
MWI.11.13_1,2022,4,128.32308578800001,0.625486383
MWI.11.13_1,2022,5,222.847901367,0.694850213
MWI.11.13_1,2022,6,150.558198452,0.702702128
MWI.11.13_1,2022,7,0.0,0.673114894
