UID,GID_2,DATE,RAINFALL_MM,NDVI_VALUE,LST_VALUE,FARMING_WARNING_SYS,DROUGHT_LEVELS,COMPOSITE_VUL_INDEX
MWI.6.7_1_1/1/2022,MWI.6.7_1,1/1/2022,14.92175569,0.446087123,32.06158879,Monitoring: Stable conditions,Normal,44
MWI.6.8_1_1/1/2022,MWI.6.8_1,1/1/2022,15.00808154,0.409454493,30.02842854,Monitoring: Stable conditions,Normal,35
MWI.6.9_1_1/1/2022,MWI.6.9_1,1/1/2022,15.02790884,0.541843958,27.99526829,Monitoring: Stable conditions,Normal,20
MWI.6.10_1_1/1/2022,MWI.6.10_1,1/1/2022,15.21991198,0.39794,28.545,Monitoring: Stable conditions,Normal,29
MWI.7.1_1_1/1/2022,MWI.7.1_1,1/1/2022,14.9576365,0.411471429,30.22494017,Monitoring: Stable conditions,Normal,35
MWI.7.2_1_1/1/2022,MWI.7.2_1,1/1/2022,15.0281425,0.163316667,31.90488034,Monitoring: Stable conditions,Normal,65
MWI.7.3_1_1/1/2022,MWI.7.3_1,1/1/2022,15.14846641,0.345814564,33.58482051,Monitoring: Stable conditions,Normal,53
MWI.7.4_1_1/1/2022,MWI.7.4_1,1/1/2022,15.0350563,0.286690755,35.26476068,Monitoring: Stable conditions,Normal,71
MWI.7.5_1_1/1/2022,MWI.7.5_1,1/1/2022,15.11276023,0.319157826,36.94470085,Monitoring: Stable conditions,Normal,59
MWI.7.6_1_1/1/2022,MWI.7.6_1,1/1/2022,15.11255563,0.175729843,38.62464103,Monitoring: Stable conditions,Normal,80
MWI.7.7_1_1/1/2022,MWI.7.7_1,1/1/2022,14.9959049,0.305700158,40.3045812,Monitoring: Stable conditions,Normal,59
MWI.7.8_1_1/1/2022,MWI.7.8_1,1/1/2022,15.52245965,0.274724249,41.98452137,Monitoring: Stable conditions,Normal,71
MWI.7.9_1_1/1/2022,MWI.7.9_1,1/1/2022,15.42541976,0.264708286,43.66446154,Monitoring: Stable conditions,Normal,71
MWI.8.1_1_1/1/2022,MWI.8.1_1,1/1/2022,15.2242182,0.243980392,34.24189683,Monitoring: Stable conditions,Normal,65
MWI.8.2_1_1/1/2022,MWI.8.2_1,1/1/2022,14.91909885,0.016981883,24.81933212,Monitoring: Stable conditions,Normal,50
MWI.8.3_1_1/1/2022,MWI.8.3_1,1/1/2022,15.09707912,0.334472596,28.56222162,Monitoring: Stable conditions,Normal,29
MWI.8.4_1_1/1/2022,MWI.8.4_1,1/1/2022,14.91488949,0.404487708,32.30511111,Monitoring: Stable conditions,Normal,44
MWI.8.5_1_1/1/2022,MWI.8.5_1,1/1/2022,14.99999196,0.308587437,34.91880556,Monitoring: Stable conditions,Normal,53
MWI.8.6_1_1/1/2022,MWI.8.6_1,1/1/2022,15.12802309,0.369028906,37.5325,Monitoring: Stable conditions,Normal,59
MWI.8.7_1_1/1/2022,MWI.8.7_1,1/1/2022,15.00942425,0.279460522,30.99,Monitoring: Stable conditions,Normal,56
MWI.8.8_1_1/1/2022,MWI.8.8_1,1/1/2022,15.18869124,0.282693525,26.14393939,Monitoring: Stable conditions,Normal,41
MWI.9.1_1_1/1/2022,MWI.9.1_1,1/1/2022,15.00627283,0.33343913,27.31262626,Monitoring: Stable conditions,Normal,29
MWI.9.2_1_1/1/2022,MWI.9.2_1,1/1/2022,15.23210095,0.283057774,28.48131313,Monitoring: Stable conditions,Normal,41
MWI.9.3_1_1/1/2022,MWI.9.3_1,1/1/2022,14.97039831,0.371178892,29.65,Monitoring: Stable conditions,Normal,29
MWI.9.4_1_1/1/2022,MWI.9.4_1,1/1/2022,15.17935894,0.17195,29.61,Monitoring: Stable conditions,Normal,50
MWI.9.5_1_1/1/2022,MWI.9.5_1,1/1/2022,15.29857613,0.404658559,29.57,Monitoring: Stable conditions,Normal,20
MWI.9.6_1_1/1/2022,MWI.9.6_1,1/1/2022,15.02955978,0.34427386,29.53,Monitoring: Stable conditions,Normal,29
MWI.9.7_1_1/1/2022,MWI.9.7_1,1/1/2022,14.98460873,0.241274412,29.49,Monitoring: Stable conditions,Normal,41
MWI.9.8_1_1/1/2022,MWI.9.8_1,1/1/2022,15.40389287,0.371074688,29.45,Monitoring: Stable conditions,Normal,29
MWI.9.9_1_1/1/2022,MWI.9.9_1,1/1/2022,15.46232162,0.26204573,29.41,Monitoring: Stable conditions,Normal,41
MWI.9.10_1_1/1/2022,MWI.9.10_1,1/1/2022,15.39451671,0.185739508,29.37,Monitoring: Stable conditions,Normal,50
MWI.9.11_1_1/1/2022,MWI.9.11_1,1/1/2022,15.46914177,0.241135,26.91,Monitoring: Stable conditions,Normal,41
MWI.9.12_1_1/1/2022,MWI.9.12_1,1/1/2022,15.45329303,0.313713056,27.789375,Monitoring: Stable conditions,Normal,29
MWI.9.13_1_1/1/2022,MWI.9.13_1,1/1/2022,15.45161549,0.349725831,28.66875,Monitoring: Stable conditions,Normal,29
MWI.9.14_1_1/1/2022,MWI.9.14_1,1/1/2022,15.39257329,0.271714667,29.548125,Monitoring: Stable conditions,Normal,41
MWI.9.15_1_1/1/2022,MWI.9.15_1,1/1/2022,15.29782128,0.312515646,30.4275,Monitoring: Stable conditions,Normal,44
MWI.9.16_1_1/1/2022,MWI.9.16_1,1/1/2022,15.22481087,0.276380037,31.306875,Monitoring: Stable conditions,Normal,56
MWI.10.1_1_1/1/2022,MWI.10.1_1,1/1/2022,15.30390756,0.281140909,32.18625,Monitoring: Stable conditions,Normal,65
MWI.11.1_1_1/1/2022,MWI.11.1_1,1/1/2022,15.13360292,0.417358801,33.065625,Monitoring: Stable conditions,Normal,44
MWI.11.2_1_1/1/2022,MWI.11.2_1,1/1/2022,15.52914448,0.427592857,27.73,Monitoring: Stable conditions,Normal,20
MWI.11.3_1_1/1/2022,MWI.11.3_1,1/1/2022,15.53292412,0.434173762,29.75,Monitoring: Stable conditions,Normal,20
MWI.11.4_1_1/1/2022,MWI.11.4_1,1/1/2022,15.28313446,0.42134,31.77,Monitoring: Stable conditions,Normal,35
MWI.11.5_1_1/1/2022,MWI.11.5_1,1/1/2022,15.13139715,0.313775309,33.008,Monitoring: Stable conditions,Normal,53
MWI.11.6_1_1/1/2022,MWI.11.6_1,1/1/2022,15.41031971,0.381615955,30.90818182,Monitoring: Stable conditions,Normal,44
MWI.11.7_1_1/1/2022,MWI.11.7_1,1/1/2022,15.19673573,0.356381289,30.02428969,Monitoring: Stable conditions,Normal,44
MWI.11.8_1_1/1/2022,MWI.11.8_1,1/1/2022,15.43287679,0.487386755,29.14039755,Monitoring: Stable conditions,Normal,20
MWI.11.9_1_1/1/2022,MWI.11.9_1,1/1/2022,15.38180337,0.398542553,29.82967317,Monitoring: Stable conditions,Normal,29
MWI.11.10_1_1/1/2022,MWI.11.10_1,1/1/2022,15.54741899,0.459568652,30.51894878,Monitoring: Stable conditions,Normal,35
MWI.11.11_1_1/1/2022,MWI.11.11_1,1/1/2022,15.89741132,0.381755693,31.20822439,Monitoring: Stable conditions,Normal,44
MWI.11.12_1_1/1/2022,MWI.11.12_1,1/1/2022,15.41122433,0.332040984,31.8975,Monitoring: Stable conditions,Normal,44
MWI.11.13_1_1/1/2022,MWI.11.13_1,1/1/2022,15.16171972,0.376731915,34.14090909,Monitoring: Stable conditions,Normal,53
MWI.11.14_1_1/1/2022,MWI.11.14_1,1/1/2022,15.26410253,0.378681871,32.6860101,Monitoring: Stable conditions,Normal,53
MWI.11.15_1_1/1/2022,MWI.11.15_1,1/1/2022,15.34636723,0.385004582,31.23111111,Monitoring: Stable conditions,Normal,44
MWI.11.16_1_1/1/2022,MWI.11.16_1,1/1/2022,15.00331065,0.371347608,37.66064516,Monitoring: Stable conditions,Normal,59
MWI.12.1_1_1/1/2022,MWI.12.1_1,1/1/2022,15.26416142,0.175653333,37.415435,Monitoring: Stable conditions,Normal,80
MWI.12.2_1_1/1/2022,MWI.12.2_1,1/1/2022,15.27159182,0.347232877,37.17022483,Monitoring: Stable conditions,Normal,59
MWI.12.3_1_1/1/2022,MWI.12.3_1,1/1/2022,15.28595659,0.55262384,36.92501466,Monitoring: Stable conditions,Normal,50
MWI.12.4_1_1/1/2022,MWI.12.4_1,1/1/2022,15.49100549,0.467224444,36.6798045,Monitoring: Stable conditions,Normal,50
MWI.12.5_1_1/1/2022,MWI.12.5_1,1/1/2022,15.25020862,0.494893333,36.43459433,Monitoring: Stable conditions,Normal,50
MWI.12.6_1_1/1/2022,MWI.12.6_1,1/1/2022,15.25826149,0.434524129,36.18938416,Monitoring: Stable conditions,Normal,50
MWI.12.7_1_1/1/2022,MWI.12.7_1,1/1/2022,15.10505776,0.337114286,35.944174,Monitoring: Stable conditions,Normal,59
MWI.12.8_1_1/1/2022,MWI.12.8_1,1/1/2022,15.22449019,0.27736,35.69896383,Monitoring: Stable conditions,Normal,71
MWI.12.9_1_1/1/2022,MWI.12.9_1,1/1/2022,15.3118837,0.338988417,35.45375367,Monitoring: Stable conditions,Normal,59
MWI.12.10_1_1/1/2022,MWI.12.10_1,1/1/2022,15.38858669,0.380339362,35.2085435,Monitoring: Stable conditions,Normal,59
MWI.12.11_1_1/1/2022,MWI.12.11_1,1/1/2022,15.21390104,0.548393639,34.96333333,Monitoring: Stable conditions,Normal,44
MWI.12.12_1_1/1/2022,MWI.12.12_1,1/1/2022,15.19207735,0.38986586,27.426,Monitoring: Stable conditions,Normal,29
MWI.12.13_1_1/1/2022,MWI.12.13_1,1/1/2022,15.19586341,0.453193785,28.63022222,Monitoring: Stable conditions,Normal,20
MWI.12.14_1_1/1/2022,MWI.12.14_1,1/1/2022,15.0904258,0.415357039,29.83444444,Monitoring: Stable conditions,Normal,20
MWI.13.1_1_1/1/2022,MWI.13.1_1,1/1/2022,15.07825332,0.103778507,28.85412363,Monitoring: Stable conditions,Normal,50
MWI.13.2_1_1/1/2022,MWI.13.2_1,1/1/2022,15.18782907,0.077939332,27.87380282,Monitoring: Stable conditions,Normal,50
MWI.13.3_1_1/1/2022,MWI.13.3_1,1/1/2022,15.16511929,0.416233333,35.91769231,Monitoring: Stable conditions,Normal,50
MWI.13.4_1_1/1/2022,MWI.13.4_1,1/1/2022,15.18553488,0.522911765,36.56434808,Monitoring: Stable conditions,Normal,50
MWI.13.5_1_1/1/2022,MWI.13.5_1,1/1/2022,15.66182231,0.48606917,37.21100386,Monitoring: Stable conditions,Normal,50
MWI.13.6_1_1/1/2022,MWI.13.6_1,1/1/2022,15.09122137,0.487426327,37.18354839,Monitoring: Stable conditions,Normal,50
MWI.13.7_1_1/1/2022,MWI.13.7_1,1/1/2022,15.15304634,0.540803268,38.30728052,Monitoring: Stable conditions,Normal,50
MWI.13.8_1_1/1/2022,MWI.13.8_1,1/1/2022,15.04107533,0.452014822,39.43101266,Monitoring: Stable conditions,Normal,50
MWI.13.9_1_1/1/2022,MWI.13.9_1,1/1/2022,15.03990135,0.459487126,38.17,Monitoring: Stable conditions,Normal,50
MWI.13.10_1_1/1/2022,MWI.13.10_1,1/1/2022,15.01578295,0.450654951,38.40120773,Monitoring: Stable conditions,Normal,50
MWI.13.11_1_1/1/2022,MWI.13.11_1,1/1/2022,15.11343771,0.462842724,38.63241546,Monitoring: Stable conditions,Normal,50
MWI.13.12_1_1/1/2022,MWI.13.12_1,1/1/2022,15.17199896,0.446750738,38.86362319,Monitoring: Stable conditions,Normal,50
MWI.13.13_1_1/1/2022,MWI.13.13_1,1/1/2022,15.12457329,0.497136296,38.65357054,Monitoring: Stable conditions,Normal,50
MWI.14.1_1_1/1/2022,MWI.14.1_1,1/1/2022,15.17232575,0.240322222,38.4435179,Monitoring: Stable conditions,Normal,71
MWI.14.2_1_1/1/2022,MWI.14.2_1,1/1/2022,15.36458206,0.262611569,38.23346526,Monitoring: Stable conditions,Normal,71
MWI.14.3_1_1/1/2022,MWI.14.3_1,1/1/2022,15.27733208,0.306370811,38.02341261,Monitoring: Stable conditions,Normal,59
MWI.14.4_1_1/1/2022,MWI.14.4_1,1/1/2022,15.1236704,0.182936457,37.81335997,Monitoring: Stable conditions,Normal,80
MWI.14.5_1_1/1/2022,MWI.14.5_1,1/1/2022,15.15253804,0.211606504,37.60330732,Monitoring: Stable conditions,Normal,71
MWI.14.6_1_1/1/2022,MWI.14.6_1,1/1/2022,15.10042791,0.248940717,37.39325468,Monitoring: Stable conditions,Normal,71
MWI.14.7_1_1/1/2022,MWI.14.7_1,1/1/2022,15.42180479,0.2714575,37.18320204,Monitoring: Stable conditions,Normal,71
MWI.15.1_1_1/1/2022,MWI.15.1_1,1/1/2022,15.34980749,0.5557625,36.97314939,Monitoring: Stable conditions,Normal,50
MWI.15.2_1_1/1/2022,MWI.15.2_1,1/1/2022,15.42258644,0.286081959,36.76309675,Monitoring: Stable conditions,Normal,71
MWI.15.3_1_1/1/2022,MWI.15.3_1,1/1/2022,15.08242858,0.30725086,36.5530441,Monitoring: Stable conditions,Normal,59
MWI.15.4_1_1/1/2022,MWI.15.4_1,1/1/2022,15.01763304,0.517874,36.34299146,Monitoring: Stable conditions,Normal,50
MWI.15.5_1_1/1/2022,MWI.15.5_1,1/1/2022,15.15714425,0.512692857,36.13293882,Monitoring: Stable conditions,Normal,50
MWI.15.6_1_1/1/2022,MWI.15.6_1,1/1/2022,15.22144576,0.568334639,35.92288617,Monitoring: Stable conditions,Normal,50
MWI.15.7_1_1/1/2022,MWI.15.7_1,1/1/2022,15.05515135,0.359468506,35.71283353,Monitoring: Stable conditions,Normal,59
MWI.15.8_1_1/1/2022,MWI.15.8_1,1/1/2022,15.04436169,0.479845588,35.50278088,Monitoring: Stable conditions,Normal,50
MWI.16.1_1_1/1/2022,MWI.16.1_1,1/1/2022,15.41527526,0.580781143,35.29272824,Monitoring: Stable conditions,Normal,50
MWI.16.2_1_1/1/2022,MWI.16.2_1,1/1/2022,15.24138424,0.59755625,35.08267559,Monitoring: Stable conditions,Normal,50
MWI.16.3_1_1/1/2022,MWI.16.3_1,1/1/2022,15.48682391,0.544010029,34.87262295,Monitoring: Stable conditions,Normal,44
MWI.16.4_1_1/1/2022,MWI.16.4_1,1/1/2022,15.40064833,0.623958601,28.76217391,Monitoring: Stable conditions,Normal,20
MWI.17.1_1_1/1/2022,MWI.17.1_1,1/1/2022,15.4200095,0.284866667,28.56775744,Monitoring: Stable conditions,Normal,41
MWI.17.2_1_1/1/2022,MWI.17.2_1,1/1/2022,15.12489476,0.228775152,28.37334096,Monitoring: Stable conditions,Normal,41
MWI.17.3_1_1/1/2022,MWI.17.3_1,1/1/2022,15.14352656,0.502407027,28.17892449,Monitoring: Stable conditions,Normal,20
MWI.17.4_1_1/1/2022,MWI.17.4_1,1/1/2022,15.35883553,0.160570183,27.98450801,Monitoring: Stable conditions,Normal,50
MWI.17.5_1_1/1/2022,MWI.17.5_1,1/1/2022,15.6184246,0.269780642,27.79009153,Monitoring: Stable conditions,Normal,41
MWI.17.6_1_1/1/2022,MWI.17.6_1,1/1/2022,15.34736018,0.300217707,27.59567506,Monitoring: Stable conditions,Normal,29
MWI.17.7_1_1/1/2022,MWI.17.7_1,1/1/2022,15.42083422,0.315272701,27.40125858,Monitoring: Stable conditions,Normal,29
MWI.17.8_1_1/1/2022,MWI.17.8_1,1/1/2022,15.46784251,0.275507022,27.20684211,Monitoring: Stable conditions,Normal,41
MWI.17.9_1_1/1/2022,MWI.17.9_1,1/1/2022,15.30027215,0.231865508,28.90233997,Monitoring: Stable conditions,Normal,41
MWI.17.10_1_1/1/2022,MWI.17.10_1,1/1/2022,15.09333458,0.280867856,30.59783784,Monitoring: Stable conditions,Normal,56
MWI.17.11_1_1/1/2022,MWI.17.11_1,1/1/2022,14.63824731,0.247874156,29.24522523,Monitoring: Stable conditions,Normal,41
MWI.17.12_1_1/1/2022,MWI.17.12_1,1/1/2022,15.02926175,0.295507571,27.89261261,Monitoring: Stable conditions,Normal,41
MWI.17.13_1_1/1/2022,MWI.17.13_1,1/1/2022,15.1249311,0.331823497,26.54,Monitoring: Stable conditions,Normal,29
MWI.18.1_1_1/1/2022,MWI.18.1_1,1/1/2022,15.00017581,0.697572222,27.17192308,Monitoring: Stable conditions,Normal,20
MWI.18.2_1_1/1/2022,MWI.18.2_1,1/1/2022,15.0011141,0.654288926,27.80384615,Monitoring: Stable conditions,Normal,20
MWI.18.3_1_1/1/2022,MWI.18.3_1,1/1/2022,15.03544579,0.594863704,34.95222222,Monitoring: Stable conditions,Normal,44
MWI.18.4_1_1/1/2022,MWI.18.4_1,1/1/2022,14.88333937,0.610676942,31.05000541,Monitoring: Stable conditions,Normal,35
MWI.18.5_1_1/1/2022,MWI.18.5_1,1/1/2022,15.09847533,0.470275354,27.14778861,Monitoring: Stable conditions,Normal,20
MWI.19.1_1_1/1/2022,MWI.19.1_1,1/1/2022,15.12952289,0.028562196,23.2455718,Monitoring: Stable conditions,Normal,50
MWI.19.2_1_1/1/2022,MWI.19.2_1,1/1/2022,14.95497133,0.250073684,23.14362532,Monitoring: Stable conditions,Normal,41
MWI.19.3_1_1/1/2022,MWI.19.3_1,1/1/2022,15.05928973,0.303213366,23.04167885,Monitoring: Stable conditions,Normal,29
MWI.19.4_1_1/1/2022,MWI.19.4_1,1/1/2022,15.11236144,0.146076154,22.93973237,Monitoring: Stable conditions,Normal,50
MWI.19.5_1_1/1/2022,MWI.19.5_1,1/1/2022,15.07534192,0.316299126,22.8377859,Monitoring: Stable conditions,Normal,29
MWI.19.6_1_1/1/2022,MWI.19.6_1,1/1/2022,15.11452952,0.270410359,22.73583942,Monitoring: Stable conditions,Normal,41
MWI.19.7_1_1/1/2022,MWI.19.7_1,1/1/2022,15.47737561,0.220440317,22.63389295,Monitoring: Stable conditions,Normal,41
MWI.19.8_1_1/1/2022,MWI.19.8_1,1/1/2022,15.17877141,0.17255102,22.53194647,Monitoring: Stable conditions,Normal,50
MWI.19.9_1_1/1/2022,MWI.19.9_1,1/1/2022,15.11146472,0.346248932,22.43,Monitoring: Stable conditions,Normal,29
MWI.19.10_1_1/1/2022,MWI.19.10_1,1/1/2022,15.11352114,0.238145122,24.21696325,Monitoring: Stable conditions,Normal,41
MWI.20.1_1_1/1/2022,MWI.20.1_1,1/1/2022,15.17487764,0.013742697,26.0039265,Monitoring: Stable conditions,Normal,50
MWI.20.2_1_1/1/2022,MWI.20.2_1,1/1/2022,14.8045974,0.2355,27.79088975,Monitoring: Stable conditions,Normal,41
MWI.20.3_1_1/1/2022,MWI.20.3_1,1/1/2022,14.94993553,0.338510382,29.577853,Monitoring: Stable conditions,Normal,29
MWI.20.4_1_1/1/2022,MWI.20.4_1,1/1/2022,14.95352842,0.208320579,31.36481625,Monitoring: Stable conditions,Normal,56
MWI.20.5_1_1/1/2022,MWI.20.5_1,1/1/2022,15.09375336,0.131164901,33.1517795,Monitoring: Stable conditions,Normal,74
MWI.20.6_1_1/1/2022,MWI.20.6_1,1/1/2022,14.91802852,0.224458681,34.93874275,Monitoring: Stable conditions,Normal,65
MWI.20.7_1_1/1/2022,MWI.20.7_1,1/1/2022,15.14542197,0.418784562,36.725706,Monitoring: Stable conditions,Normal,50
MWI.20.8_1_1/1/2022,MWI.20.8_1,1/1/2022,15.23300541,0.297310078,38.51266925,Monitoring: Stable conditions,Normal,71
MWI.20.9_1_1/1/2022,MWI.20.9_1,1/1/2022,15.25655153,0.339346623,40.2996325,Monitoring: Stable conditions,Normal,59
MWI.21.1_1_1/1/2022,MWI.21.1_1,1/1/2022,15.06134997,0.56882971,42.08659574,Monitoring: Stable conditions,Normal,50
MWI.21.2_1_1/1/2022,MWI.21.2_1,1/1/2022,14.94379564,0.504557895,37.34166667,Monitoring: Stable conditions,Normal,50
MWI.21.3_1_1/1/2022,MWI.21.3_1,1/1/2022,15.2594134,0.595930769,37.42478261,Monitoring: Stable conditions,Normal,50
MWI.21.4_1_1/1/2022,MWI.21.4_1,1/1/2022,15.99693977,0.377977165,44.37158055,Monitoring: Stable conditions,Normal,59
MWI.21.5_1_1/1/2022,MWI.21.5_1,1/1/2022,14.1420126,0.546574419,33.70714286,Monitoring: Stable conditions,Normal,44
MWI.21.6_1_1/1/2022,MWI.21.6_1,1/1/2022,10.79690475,0.60672619,34.90503876,Monitoring: Stable conditions,Normal,44
MWI.21.7_1_1/1/2022,MWI.21.7_1,1/1/2022,19.25805918,0.529420339,39.59185185,Monitoring: Stable conditions,Normal,50
MWI.21.8_1_1/1/2022,MWI.21.8_1,1/1/2022,13.65187454,0.55949386,40.19755102,Monitoring: Stable conditions,Normal,50
MWI.21.9_1_1/1/2022,MWI.21.9_1,1/1/2022,15.89704514,0.574659155,36.39470588,Monitoring: Stable conditions,Normal,50
MWI.21.10_1_1/1/2022,MWI.21.10_1,1/1/2022,16.17193794,0.688565591,35.578,Monitoring: Stable conditions,Normal,50
MWI.21.11_1_1/1/2022,MWI.21.11_1,1/1/2022,10.82157898,0.482098798,39.39211429,Monitoring: Stable conditions,Normal,50
MWI.22.1_1_1/1/2022,MWI.22.1_1,1/1/2022,18.87752533,0.47254,37.36614787,Monitoring: Stable conditions,Normal,50
MWI.22.2_1_1/1/2022,MWI.22.2_1,1/1/2022,26.93347168,0.463900952,35.34018145,Monitoring: Stable conditions,Normal,30
MWI.22.3_1_1/1/2022,MWI.22.3_1,1/1/2022,18.43381263,0.524381427,33.31421504,Monitoring: Stable conditions,Normal,44
MWI.22.4_1_1/1/2022,MWI.22.4_1,1/1/2022,25.78324788,0.462487562,31.28824862,Monitoring: Stable conditions,Normal,15
